선행 ARS BSW -> ASW Interface,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ver,ID,NO.,Component,ASW_RTE,Task,Return Type,Element Name,1st Parameter,2nd Parameter,3rd Parameter,Return,Read Data Type,Data Range,Unit,Init,Description,Note,Result
V1.00,,1,BSW → ASW,"TBD
(신호 분석 필요)","6.666us
->ICU ISR",void,ShrHWIA_BswIcu_Cbk_Fault(uint8 fault_num),"#define	 BSWICU_FAULT_HVOV (0U)
#define BSWICU_FAULT_IPM (1U)
#define BSWICU_FAULT_INTERLOCK (2U)
#define BSWICU_FAULT_CURR_U (3U)
#define BSWICU_FAULT_CURR_W (4U)
#define BSWICU_FAULT_CURR_HVB (5U)",,,,uint8,"0, 1",-,0,"■ Gpio_Read_SmpsUvlo 기능을 IPM의 Fault 상태 여부를 리턴한다.
- HW IPM Fault가 발생하지 않은 경우 0을 리턴한다.
- HW IPM Fault가 발생한 경우 1을 리턴한다.
■ Gpio_Read_IntlckSt 기능을 HW 인터락 상태를 리턴한다.
- HW 인터락 상황이 발생하지않을때는 0을 리턴한다.
- HW 인터락 상황이 발생하면 1을 리턴한다.
■ CURR_HVB, CURR_W, CURR_U 기능을 과전류 검출 여부를 리턴한다.
- CURR_HVB, CURR_W, CURR_U가 발생하지 않은 경우 0을 리턴한다.
- CURR_HVB, CURR_W, CURR_U가 발생한 경우 1을 리턴한다.","BswRs V1.4의 ShrHWIA_Gpio_Read_SmpsUvlo 대체 API

HW IPM Fault Detection (0: Normal, 1: Fault)

Interlock Status (0: Normal, 1: Interlock detected) 

HW Over Current Detection (0: Normal, 1: Over Current)",OC 발생 2차에서만 회로 추가
V0.10,,2,BSW → ASW,"TBD
(Calibration)",-,uint8,"ShrHWIA_BswNvm_ReadBlock(uint8 index, uint8* data)","#define BSWNVM_BLOCK_INDEX_0		(0U)
#define BSWNVM_BLOCK_INDEX_1		(1U)
#define BSWNVM_BLOCK_INDEX_2		(2U)
#define BSWNVM_BLOCK_INDEX_3		(3U)",uint8* data,,,"uint8, uint8*","uint8 : 0, 255
uint8 : 0, 255",-,0,■ NvM_EepRead 기능은 identifier를 입력시 데이터를 DataBufferPtr로 전달한다.,"■ Use Case
Nvm_EepRead(식별자1, &freezeframe0[0]);   // freezeframe0[0] : 10
Nvm_EepRead(식별자2, &freezeframe1[0]);   // freezeframe1[0] : 20
Nvm_EepRead(식별자3, &freezeframe2[0]);   // freezeframe2[0] : 30",
V1.01,,3,BSW → ASW,"Float Rte_IRead_SWC_AswCanTx_ExtIn_ADC_HV_Voltage(void)
Float Rte_IRead_SWC_AswCanTx_ExtIn_ADC_LV_Voltage(void)
Double Rte_IRead_SWC_AswCanTx_Adc_ExtIGBTTemp_Adc_ExtIGBTTemp(void)
Double Rte_IRead_SWC_AswCanTx_Adc_ExtMotorTemp_Adc_ExtMotorTemp(void)
Double Rte_IRead_SWC_AswCanTx_Adc_ExtPCBTemp_Adc_ExtPCBTemp(void)
Float Rte_IRead_SWC_CddMotCtrl_ExtIn_ADC_IaRaw_Current(void)
Float Rte_IRead_SWC_CddMotCtrl_ExtIn_ADC_IbRaw_Current(void)
Float Rte_IRead_SWC_CddMotCtrl_ExtIn_ADC_IcRaw_Current(void)
Float Rte_IRead_SWC_CddMotCtrl_ExtIn_ADC_HV_Voltage(void)
Float Rte_IRead_SWC_AswFltMon_PWMloop_ExtIn_ADC_IaRaw_Current(void)
Float Rte_IRead_SWC_AswFltMon_PWMloop_ExtIn_ADC_IbRaw_Current(void)
Float Rte_IRead_SWC_AswFltMon_PWMloop_ExtIn_ADC_IcRaw_Current(void)
Double Rte_IRead_SWC_AswFltMon_PWMloop_Adc_ExtIGBTTemp_Adc_ExtIGBTTemp(void)
Double Rte_IRead_SWC_AswFltMon_PWMloop_Adc_ExtMotorTemp_Adc_ExtMotorTemp(void)
Double Rte_IRead_SWC_AswFltMon_PWMloop_Adc_ExtPCBTemp_Adc_ExtPCBTemp(void)
Float Rte_IRead_SWC_AswFltMon_PWMloop_ExtIn_ADC_HV_Voltage(void)",10ms,float,ShrHWIA_BswAdc_GetPhyValue(uint8 ch),"#define BSWADC_CH_SENS_CURR_U_RAW	(0U)
#define BSWADC_CH_SENS_CURR_W_RAW	(1U)
#define BSWADC_CH_SENS_CURR_DC_RAW	(2U)
#define BSWADC_CH_SENS_HV			(3U)

#define BSWADC_CH_SENS_VDD_15V		(4U)
#define BSWADC_CH_SENS_VDD_5V0		(5U)
#define BSWADC_CH_SENS_LV			(6U)
#define BSWADC_CH_SENS_IG			(7U)
#define BSWADC_CH_VUC_5V0			(8U)
#define BSWADC_CH_VCOM_5V0			(9U)
#define BSWADC_CH_VT1_5V0			(10U)
#define BSWADC_CH_VT2_5V0			(11U)
#define BSWADC_CH_VREF_5V0			(12U)

#define BSWADC_CH_SENS_PCB_TEMP		(13U)
#define BSWADC_CH_SENS_IPM_TEMP		(14U)
#define BSWADC_CH_SENS_MOT_TEMP		(15U)",,,,uint8,,,,,,"V1.01 업데이트: 채널 정의 변경
- CURR_U/W/DC에 _RAW 접미사 추가
- VUC_3V3 → VUC_5V0로 변경
- 16개 채널 모두 재정의됨

BSW Task ADC_Interrupt, 10ms, 100ms 주기 처리됨"
V1.01,,4,BSW → ASW,"TBD
(Calibration Status)",-,uint8,ShrHWIA_BswAdc_GetCurrentCalibStatus(void),,,,"#define BSWADC_CALIB_IN_PROGRESS    (0U)
#define BSWADC_CALIB_PASS           (1U)
#define BSWADC_CALIB_FAIL           (2U)",uint8,"0, 1, 2",-,0,"■ 전류 캘리브레이션 상태를 반환한다.
- 0: 캘리브레이션 진행 중
- 1: 캘리브레이션 성공 
- 2: 캘리브레이션 실패","V1.01 신규 추가: 전류 센서 캘리브레이션 상태 모니터링 기능",
V1.01,,5,BSW → ASW,"TBD
(Motor Temperature Error Status)",-,uint8,ShrHWIA_BswAdc_GetMotorTempErrStatus(void),,,,"#define BSWADC_MOTOR_TEMP_VALID     (0U)
#define BSWADC_MOTOR_TEMP_INVALID   (1U)",uint8,"0, 1",-,0,"■ 모터 온도 센서 에러 상태를 반환한다.
- 0: 모터 온도 센서 정상
- 1: 모터 온도 센서 에러","V1.01 신규 추가: 모터 온도 센서 진단 기능",
V0.10,,6,BSW → ASW,UInt16 Rte_IRead_SWC_AswSeaPosSen_SENT_Ext_PulseCount_SENT_Ext_PulseCount(void),1ms,"typBswSent_StateType
typedef enum{
  BSW_SENT_STOP = 0x00U,
  BSW_SENT_INITIALIZED = 0x1U,
  BSW_SENT_RUNNING = 0x2U,
  BSW_SENT_SYNCHRONIZED = 0x3U
}typBswSent_StateType;",ShrHWIA_BswSent_GetGearPosition(uint16* sentdata),uint16* sentdata,,,"BSW_SENT_STOP = 0x00U,
BSW_SENT_INITIALIZED = 0x1U,
BSW_SENT_RUNNING = 0x2U,
BSW_SENT_SYNCHRONIZED = 0x3U",uint16,,,,,,
V1.01,,7,BSW → ASW,"TBD
(SENT Slow Channel)",-,Std_ReturnType,"ShrHWIA_BswSent_GetSlowChannel(uint8 msgId, uint16* data, uint32* timestamp)","#define SENT_SLOWCH_ID_01	(0x01U)
#define SENT_SLOWCH_ID_03	(0x03U)
#define SENT_SLOWCH_ID_05	(0x05U)
#define SENT_SLOWCH_ID_06	(0x06U)
#define SENT_SLOWCH_ID_07	(0x07U)
#define SENT_SLOWCH_ID_08	(0x08U)
#define SENT_SLOWCH_ID_09	(0x09U)
#define SENT_SLOWCH_ID_0A	(0x0AU)
#define SENT_SLOWCH_ID_23	(0x23U)
#define SENT_SLOWCH_ID_24	(0x24U)
#define SENT_SLOWCH_ID_29	(0x29U)
#define SENT_SLOWCH_ID_2A	(0x2AU)
#define SENT_SLOWCH_ID_2B	(0x2BU)
#define SENT_SLOWCH_ID_2C	(0x2CU)
#define SENT_SLOWCH_ID_90	(0x90U)
#define SENT_SLOWCH_ID_91	(0x91U)
#define SENT_SLOWCH_ID_92	(0x92U)
#define SENT_SLOWCH_ID_93	(0x93U)
#define SENT_SLOWCH_ID_94	(0x94U)
#define SENT_SLOWCH_ID_95	(0x95U)
#define SENT_SLOWCH_ID_96	(0x96U)
#define SENT_SLOWCH_ID_97	(0x97U)",uint16* data,uint32* timestamp,"#define E_OK     (0U)
#define E_NOT_OK (1U)","uint8, uint16*, uint32*","0~255, 0~65535, 0~4294967295",-,E_NOT_OK,"■ SENT Slow Channel 데이터를 ID별로 읽는다.
- msgId: 읽을 Slow Channel ID (22개 지원)
- data: 읽은 데이터 포인터  
- timestamp: 데이터 수신 시각
- 반환값: E_OK(성공) 또는 E_NOT_OK(실패)","V1.01 신규 추가: 22개 ID를 지원하는 SENT Slow Channel 읽기 기능",
V0.11,,8,BSW → ASW,"TBD
(신호 분석 중이므로 별도의 기능에 대한 함수 구현 필요)",,uint32,ShrHWIA_BswIcu_GetFrequency(uint8 ch),"#define BSWICU_CH_SENS1_PWM		(0U)
#define BSWICU_CH_SENS2_PWM		(1U)",,,Fault 시 return 0xFFFFFFFF ,uint8,,,,,,"BSWICU_CH_SENS1_PWM 구현
BSWICU_CH_SENS2_SENT 구현 보류

WIA는 MR Sensor 형태 센서이며 주파수 형태 Task를 구현 필요함
Test Code는 10ms로 Call되며, Gint는 MR 센서가 252Hz로 센서이며 확정"
V0.11,,9,BSW → ASW,Float Rte_IRead_SWC_AswMotPosSenInit_ExtIn_ICU_MotorSensor_duty(void),,uint16,ShrHWIA_BswIcu_GetDuty(uint8 ch),"#define BSWICU_CH_SENS1_PWM		(0U)
#define BSWICU_CH_SENS2_PWM		(1U)",,,Fault 시 return 0xFFFF,uint8,,,,,,"BSWICU_CH_SENS1_PWM 구현
BSWICU_CH_SENS2_SENT 구현 보류

WIA는 MR Sensor 형태 센서이며 주파수 형태 Task를 구현 필요함
Test Code는 10ms로 Call되며, Gint는 MR 센서가 252Hz로 센서이며 확정"
V1.01,,10,BSW → ASW,"Std_ReturnType Rte_Send_ExtOut_CAN_Rx_get_Caller_Mgs_ARSUpper_get_call(Double u)
Std_ReturnType Rte_Send_ExtOut_CAN_Rx_get_Caller_Mgs_SEACtrl_get_call(Double u)",CallBack,uint8,"ShrHWIA_BswCan_GetMsg(uint8 msg_index, uint8 *dlc, uint8 *data)","#define BSWCAN_MSG_RX_INDEX_MVPC_ARS_01_1ms		(0U) //Rx // 0x20
#define BSWCAN_MSG_RX_INDEX_ROUTING_01_10ms		(1U) //Rx // 0x27
#define BSWCAN_MSG_RX_INDEX_ROUTING_01_20ms		(2U) //Rx // 0x26
#define BSWCAN_MSG_RX_INDEX_ROUTING_01_200ms	(3U) //Rx // 0x25",,,,uint8,,,,,"V1.01 업데이트: CAN 메시지 인덱스 변경
- VPC_ARS → MVPC_ARS로 변경
- SEA_ARS → ROUTING으로 변경  
- 새로운 CAN ID 할당",
